51,Dugtrio,TIER,100,50,120
52,Meowth,NORM,45,35,90
53,Persian,NORM,70,60,115
54,Psyduck,AGUA,52,48,55
55,Golduck,AGUA,82,78,85
56,Mankey,LUCH,80,35,70
57,Primeape,LUCH,105,60,95
58,Growlithe,FUEG,70,45,60
59,Arcanine,FUEG,110,80,95
60,Poliwag,AGUA,50,40,90
61,Poliwhirl,AGUA,65,65,90
62,Poliwrath,AGUA,95,95,70
63,Abra,PSIQ,20,15,90
64,Kadabra,PSIQ,35,30,105
65,Alakazam,PSIQ,50,45,120
66,Machop,LUCH,80,50,35
67,Machoke,LUCH,100,70,45
68,Machamp,LUCH,130,80,55
69,Bellsprout,PLAN,75,35,40
70,Weepinbell,PLAN,90,50,55
71,Victreebel,PLAN,105,65,70
72,Tentacool,AGUA,40,35,70
73,Tentacruel,AGUA,70,65,100
74,Geodude,ROCA,80,100,20
75,Graveler,ROCA,95,115,35
76,Golem,ROCA,120,130,45
77,Ponyta,FUEG,85,55,90
78,Rapidash,FUEG,100,70,105
79,Slowpoke,AGUA,65,65,15
80,Slowbro,AGUA,75,110,30
81,Magnemite,ELEC,35,70,45
82,Magneton,ELEC,60,95,70
83,Farfetch'd,NORM,90,55,60
84,Doduo,NORM,85,45,75
85,Dodrio,NORM,110,70,110
86,Seel,AGUA,45,55,45
87,Dewgong,AGUA,70,80,70
88,Grimer,VENE,80,50,25
89,Muk,VENE,105,75,50
90,Shellder,AGUA,65,100,40
91,Cloyster,AGUA,95,180,70
92,Gastly,FANT,35,30,80
93,Haunter,FANT,50,45,95
94,Gengar,FANT,65,60,110
95,Onix,ROCA,45,160,70
96,Drowzee,PSIQ,48,45,42
97,Hypno,PSIQ,73,70,67
98,Krabby,AGUA,105,90,50
99,Kingler,AGUA,130,115,75
100,Voltorb,ELEC,30,50,100
